age,income,gender_Male,gender_Non-binary,city_Chicago,city_Dallas,city_Fort Worth,city_Houston,city_Jacksonville,city_Los Angeles,city_New York,city_Philadelphia,city_Phoenix,city_San Antonio,city_San Diego,city_San Jose
27,47224,True,True,True,False,False,False,False,False,False,False,False,False,True,False
50,111691,False,False,True,False,False,True,False,False,False,False,False,False,False,False
35,118395,False,False,True,False,False,False,False,False,False,False,True,False,False,False
32,40350,False,True,True,False,False,False,False,False,False,False,False,False,False,False
34,68680,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,92163,False,False,False,False,False,False,False,False,False,False,False,False,False,True
53,116223,False,False,True,False,False,False,True,False,False,False,False,False,False,True
22,114896,False,True,False,False,False,False,False,False,False,False,False,False,False,False
24,93156,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,99621,False,True,True,False,False,False,False,False,False,False,False,False,False,False
25,114896,True,False,True,False,False,False,False,False,False,False,False,False,False,False
34,67762,False,True,True,False,False,False,False,False,False,False,False,False,False,False
36,106869,True,False,False,False,False,False,False,False,False,False,False,False,False,True
51,64687,True,False,True,False,False,False,False,False,False,False,False,False,False,False
28,66666,False,True,False,False,False,False,True,False,False,False,False,False,False,False
38,116499,False,False,True,False,False,False,False,False,False,True,False,False,False,False
22,65018,True,False,False,False,False,False,False,False,False,False,False,False,True,False
44,50006,False,False,False,False,False,True,True,False,True,False,False,False,False,False
43,48964,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,91385,False,True,True,False,False,True,False,False,False,False,False,False,False,False
26,36028,False,False,True,False,False,True,False,False,False,False,False,False,False,False
51,55443,False,True,False,False,False,False,False,False,False,False,False,False,False,False
54,80277,False,False,False,True,False,False,False,False,False,True,False,False,False,False
22,61635,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,42999,False,True,False,False,False,False,False,False,False,False,True,False,False,False
27,102910,False,False,True,False,False,False,False,False,False,True,False,False,False,False
58,42217,False,False,False,True,False,False,False,False,True,True,False,True,False,False
37,43069,False,True,True,False,False,False,False,False,False,False,False,False,False,False
39,34852,False,True,False,False,False,False,True,False,False,False,False,False,False,False
29,116223,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,48894,True,True,False,False,False,False,False,False,False,False,False,False,False,False
43,76955,True,True,True,False,False,False,False,False,False,False,True,False,True,False
59,41836,True,True,False,False,False,False,False,False,False,False,False,False,False,False
27,89459,False,True,True,False,False,False,False,False,False,False,False,False,False,False
26,68452,False,False,True,False,False,False,False,True,False,False,False,False,False,False
29,33783,True,False,False,True,False,False,False,False,False,False,False,True,False,True
58,36629,False,False,False,False,False,False,True,False,False,False,False,False,True,False
46,34082,False,True,False,False,False,False,False,False,False,False,False,False,False,False
56,119889,False,True,False,False,False,False,False,False,False,False,False,False,False,False
28,109806,False,True,True,False,False,False,False,False,False,False,False,False,False,False
26,96507,True,False,False,True,False,False,False,False,False,False,False,False,False,True
31,75236,False,False,False,False,False,True,False,False,False,False,False,False,False,False
34,94178,False,False,True,False,False,False,False,False,False,False,False,False,False,False
29,103608,False,True,True,False,False,False,False,False,False,False,False,False,False,False
42,116200,True,False,False,False,False,False,False,False,False,False,False,False,False,False
31,108116,True,True,True,False,False,False,False,False,False,False,False,False,False,False
38,104228,False,True,False,False,False,False,False,False,False,False,False,False,True,False
47,52946,True,False,False,False,True,False,False,False,False,True,False,False,False,False
33,36764,False,False,False,False,False,True,True,False,False,False,False,False,False,False
45,102972,False,True,False,False,False,False,False,False,False,False,False,False,False,False
49,83955,True,False,False,False,False,False,False,False,False,False,False,False,False,False
59,94451,True,False,True,False,False,False,True,False,False,False,False,True,False,False
45,95771,False,True,True,False,False,False,False,False,False,False,False,False,False,True
46,114323,False,False,True,False,False,False,False,False,False,False,False,False,False,False
40,64687,False,False,True,False,False,False,False,True,False,False,False,False,False,False
41,67667,False,False,True,False,False,False,False,False,False,True,False,False,False,False
33,40527,False,True,False,False,False,False,False,False,False,False,False,False,False,False
58,47054,False,False,False,False,False,False,True,False,False,False,False,False,False,False
24,88743,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,80196,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,115394,False,True,False,False,False,False,False,False,False,False,False,False,True,False
45,115814,False,False,True,False,True,False,False,False,False,False,False,False,False,False
44,49476,True,True,False,False,True,False,True,False,False,False,False,False,False,False
59,50253,False,False,True,False,False,False,False,True,False,False,False,False,False,True
22,38799,False,False,True,False,False,False,False,False,False,False,False,False,False,False
35,105248,False,False,True,False,False,False,False,False,False,False,True,False,False,True
57,61439,False,True,False,False,False,False,False,False,False,False,False,False,False,False
26,39359,False,False,False,True,False,False,False,False,False,False,False,False,False,False
37,114323,False,False,True,False,False,True,False,False,False,False,False,False,False,True
57,64782,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,118188,False,True,False,False,False,False,True,False,False,True,False,False,False,False
