age,income,gender_Male,gender_Non-binary,city_Chicago,city_Dallas,city_Fort Worth,city_Houston,city_Jacksonville,city_Los Angeles,city_New York,city_Philadelphia,city_Phoenix,city_San Antonio,city_San Diego,city_San Jose
40,112242,False,False,False,False,False,False,True,False,False,False,False,False,False,False
55,69824,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,74541,False,False,False,False,False,False,False,False,False,True,False,True,False,False
60,100592,False,True,False,False,False,False,False,False,True,False,False,False,True,False
34,106435,False,False,True,False,False,False,False,False,False,False,False,True,False,False
53,109354,False,True,False,False,False,False,False,False,False,False,False,True,False,True
24,86244,False,False,False,False,False,False,False,False,False,False,True,False,False,False
24,118452,True,False,False,True,False,False,False,False,False,False,False,False,False,False
33,45220,False,True,False,False,False,False,False,False,False,False,False,False,True,False
22,116563,False,False,False,True,False,False,False,False,False,False,False,False,False,False
21,73713,False,False,False,True,False,False,False,False,False,False,False,False,False,False
27,38564,False,False,False,False,False,False,False,False,False,True,False,False,False,False
59,84459,False,False,False,False,False,False,False,False,False,False,True,False,False,False
20,109471,False,False,False,False,False,False,False,False,False,False,False,True,False,False
56,117881,True,False,False,False,False,False,False,False,False,True,False,True,False,False
51,89682,False,True,False,False,False,False,True,False,False,False,False,False,False,False
27,102529,False,False,False,True,False,False,True,False,False,True,False,False,False,False
46,66512,True,True,False,False,False,False,False,False,False,False,False,False,False,False
50,41221,False,True,True,True,False,True,False,False,False,True,False,False,False,False
43,102641,False,True,False,False,False,False,False,False,False,False,True,False,False,False
35,78843,False,False,False,False,True,False,False,False,False,False,False,False,False,False
57,102848,True,True,False,True,False,False,False,False,False,False,False,False,False,False
32,68566,False,True,False,False,False,True,False,False,False,False,False,False,False,False
23,85176,True,False,False,False,False,False,False,False,True,False,True,False,False,False
43,56111,True,False,False,True,True,False,False,False,False,False,False,False,True,False
56,82089,False,False,False,False,False,False,True,False,False,False,False,False,False,False
27,82262,False,True,True,False,False,False,False,False,False,False,False,False,False,False
35,114239,True,True,False,True,False,False,False,False,False,False,False,False,False,False
48,51567,True,True,False,False,False,False,False,False,False,False,True,False,False,False
52,46591,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35,77012,True,True,True,True,False,False,False,False,False,True,True,False,False,False
29,94178,True,False,False,False,False,False,False,False,False,False,False,False,True,False
32,31792,True,False,False,True,False,False,True,False,False,True,False,False,False,False
25,45814,False,True,False,False,False,False,False,False,False,False,True,False,False,False
45,72516,True,True,False,True,False,False,False,False,True,False,False,False,False,False
26,42219,True,False,False,False,False,False,False,False,False,False,False,False,False,False
41,73065,False,True,False,False,False,False,False,False,False,False,False,False,False,True
32,87424,True,False,False,True,False,False,False,False,False,False,False,False,True,True
37,35167,False,True,False,False,False,False,False,False,False,False,False,False,False,False
33,108222,True,False,False,False,False,False,False,False,False,False,True,False,False,False
24,47322,True,True,False,False,True,False,False,False,False,False,False,False,False,False
50,78368,True,False,False,False,False,False,False,False,False,False,False,False,False,False
41,83955,True,True,False,True,True,False,True,False,False,False,False,False,False,False
41,73515,True,False,False,False,False,False,False,False,False,False,False,False,False,True
33,79808,False,False,False,False,False,False,True,False,False,False,False,False,False,False
42,64737,True,False,False,True,False,False,False,False,False,False,False,False,False,False
45,52962,True,False,False,False,False,False,False,True,False,False,False,False,False,False
34,115814,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,63289,False,False,False,False,True,False,False,False,False,False,False,False,False,False
46,103584,False,True,False,False,False,False,True,False,False,False,False,False,False,False
25,67056,True,True,False,False,False,True,False,False,False,True,False,False,True,False
34,49887,True,False,True,False,False,False,True,False,False,False,False,False,False,False
34,82521,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,43173,False,False,True,False,False,True,False,False,False,False,False,False,False,False
54,108116,False,True,False,False,False,False,False,False,False,False,True,False,False,False
22,41836,True,False,False,False,False,False,False,False,False,False,False,False,False,False
26,98955,False,False,False,False,False,False,True,False,False,False,False,False,False,False
47,60340,False,False,False,False,False,False,False,False,False,False,False,False,False,True
52,45915,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,41846,False,True,False,False,False,False,False,False,False,False,False,False,False,True
45,100804,True,True,False,False,False,False,False,False,False,True,False,False,False,False
38,78843,False,False,False,False,False,False,False,True,False,False,False,False,False,False
27,65954,False,True,True,False,False,False,False,False,False,False,False,False,False,False
57,72176,True,False,False,False,False,False,False,False,False,False,False,False,False,False
52,111691,False,True,False,False,False,False,False,False,False,False,False,False,False,False
28,77301,False,True,True,False,False,False,False,False,False,False,False,False,False,False
28,46299,False,False,False,False,False,False,False,True,False,False,False,False,False,False
27,44150,True,False,False,False,True,False,False,False,False,False,False,False,True,False
60,82976,False,True,False,False,False,False,False,False,False,False,True,False,False,False
20,51079,True,False,False,False,False,False,False,True,False,False,False,False,False,False
43,99588,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,107356,False,True,False,False,False,False,False,False,False,False,False,False,False,False
28,55042,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,66342,False,True,False,True,False,False,False,False,True,False,False,True,False,False
55,83271,False,False,False,False,True,False,False,False,False,False,False,False,False,False
26,45220,False,False,False,False,False,False,True,False,False,False,False,False,False,False
59,65509,True,False,True,False,False,False,False,False,False,False,False,False,False,False
60,91385,False,True,False,False,False,False,False,False,False,False,False,False,False,False
38,72823,False,False,False,True,False,False,False,False,False,False,True,False,True,False
22,111057,True,True,False,True,False,False,True,False,False,False,False,False,True,False
40,99621,False,False,True,False,False,False,False,False,False,False,False,False,False,False
25,34852,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,66512,True,True,False,False,False,True,False,False,False,False,False,False,False,False
51,109354,True,False,False,False,False,False,False,False,False,False,False,False,False,False
60,89510,False,False,False,False,False,False,False,False,False,False,False,False,True,False
52,48449,False,False,True,False,False,False,False,False,False,False,False,False,False,False
44,44408,False,True,False,True,False,False,True,False,False,False,False,False,True,False
48,67667,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,86244,False,True,False,False,False,False,False,False,False,False,False,False,False,True
47,109905,True,False,False,True,False,False,False,False,False,False,False,False,False,False
58,67056,False,False,True,False,False,False,False,False,False,False,False,False,False,False
60,97271,False,False,False,False,False,False,False,False,False,False,False,True,False,False
57,37861,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,83516,False,False,False,False,False,False,False,False,True,True,False,False,False,False
57,116275,False,True,False,False,True,False,False,False,False,False,False,False,False,False
